name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9386067,lon_tug_9386067,sog_tug_9386067,heading_tug_9386067,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9511909,lon_tug_9511909,sog_tug_9511909,heading_tug_9511909,lat_tug_9830197,lon_tug_9830197,sog_tug_9830197,heading_tug_9830197,lat_tug_9830202,lon_tug_9830202,sog_tug_9830202,heading_tug_9830202,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9853694,lon_tug_9853694,sog_tug_9853694,heading_tug_9853694,lat_tug_9892860,lon_tug_9892860,sog_tug_9892860,heading_tug_9892860,lat_tug_9951604,lon_tug_9951604,sog_tug_9951604,heading_tug_9951604,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28965379111,103.761783379,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:00:08,False,1.29097002471,103.760530563,0.0,0.0,1.29071502534,103.760713895,0.0,0.0,1.28647221601,103.752710885,3.18956,45.0,1.27618712903,103.751136493,5.96756,0.0,1.29089169211,103.760467229,0.0,9.99756,1.23850169164,103.73872723,0.0,182.999,1.29080502532,103.760610559,0.0,24.9994,1.29025599724,103.761105022,0.0514444,301.998,1.28511169221,103.758967231,0.0514444,211.998,1.28609376698,103.757169697,0.0514444,208.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28958296805,103.761794148,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:00:18,False,1.29097835984,103.760537222,0.0,0.0,1.29071335825,103.76071056,0.0,0.0,1.28665541974,103.753042363,3.13811,46.9995,1.27557242421,103.751057281,4.93867,0.0,1.29088917941,103.760464579,0.0514444,9.99756,1.23850002473,103.738728889,0.0,182.999,1.29081335939,103.760587227,0.0,25.9991,1.29025734164,103.761098686,0.0514444,301.998,1.28511169221,103.758967231,0.0,211.998,1.28609285535,103.757176313,0.0514444,209.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28954755763,103.761799537,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:00:28,False,1.29097835984,103.760537222,0.0,0.0,1.2907350265,103.760703022,0.0514444,0.0,1.28672134072,103.753251008,3.08667,45.9998,1.27522086227,103.751029601,4.93867,0.0,1.29088669339,103.760467229,0.0,9.99756,1.23850579196,103.738732416,0.0,182.999,1.29081335939,103.760587227,0.0,25.9991,1.29025801274,103.761095527,0.0514444,301.998,1.2850983587,103.758970557,0.0,210.998,1.28610169148,103.757177225,0.0,209.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28951214499,103.761804917,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:00:38,False,1.29098335845,103.760533896,0.0,0.0,1.29073002507,103.760688895,0.0,0.0,1.28680721393,103.75344097,3.08667,45.0,1.27525768845,103.750596056,4.93867,0.0,1.29088669339,103.760467229,0.0,9.99756,1.23849557389,103.738736646,0.0,182.999,1.29078835911,103.760587228,0.0,25.9991,1.29025878096,103.761091903,0.0514444,301.998,1.28510169194,103.758950559,0.0,210.998,1.28609669263,103.757173891,0.0,209.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.2894312031,103.761817222,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:00:48,False,1.29098335857,103.760537222,0.0,0.0,1.29072669343,103.760692229,0.0,0.0,1.28702958653,103.753843295,3.08667,47.9993,1.27557714231,103.750128674,4.167,0.0,1.29086502654,103.760452225,0.0,9.99756,1.23849644808,103.738733048,0.0514444,180.0,1.29078169335,103.760585561,0.0,25.9991,1.29025945206,103.761088735,0.0514444,301.998,1.28510199123,103.758953788,0.0,210.998,1.28609669263,103.757173891,0.0,210.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28939579267,103.761822602,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:00:58,False,1.29097669286,103.760537222,0.0,0.0,1.29072835826,103.760693897,0.0,0.0,1.28713454413,103.754011504,3.13811,48.999,1.27619133209,103.749473825,5.556,0.0,1.29085002541,103.760437229,0.0,9.99756,1.23850002501,103.738735557,0.0,180.0,1.29078169323,103.760582226,0.0,25.9991,1.29026098631,103.761081505,0.0514444,301.998,1.28509835927,103.758955561,0.0,210.998,1.28608326148,103.757163818,0.0,210.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28935532172,103.761828764,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:01:08,False,1.29097669286,103.760537222,0.0,0.0,1.29072835838,103.760697222,0.0,0.0,1.28723752094,103.754230984,3.18956,50.9985,1.27640732393,103.749136989,5.556,0.0,1.2908466933,103.760427226,0.0,9.99756,1.23850002501,103.738735557,0.0,180.0,1.29078169323,103.760582226,0.0,25.9991,1.29026098631,103.761081505,0.0514444,301.998,1.28509607147,103.758944452,0.0514444,210.998,1.28608392142,103.757157597,0.0514444,206.999
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28927944035,103.761840296,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:01:18,False,1.29097502612,103.760543891,0.0,0.0,1.29072169285,103.760702224,0.0,0.0,1.28741354737,103.754584418,3.18956,52.998,1.27661102723,103.748875353,5.35022,0.0,1.2908466933,103.760427226,0.0,9.99756,1.23849502671,103.738745561,0.0,180.0,1.29079169319,103.760590562,0.0,25.9991,1.29026242563,103.761074713,0.0514444,301.998,1.28509699104,103.758943794,0.0514444,210.998,1.28608593311,103.757165038,0.0514444,205.999
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28924402772,103.761845677,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:01:28,False,1.2909733595,103.760553895,0.0,0.0,1.29070835893,103.760693897,0.0,0.0,1.28748161252,103.754803864,3.18956,55.9973,1.27698517295,103.7484182,4.73289,0.0,1.29084669271,103.760410563,0.0,9.99756,1.23850002487,103.738732223,0.0,181.0,1.29078502498,103.760582226,0.0,25.9991,1.29026376783,103.761068386,0.0514444,301.998,1.28509557359,103.758944566,0.0514444,210.998,1.28609169151,103.757168889,0.0,204.999
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900.0,1.28920861729,103.761851066,0.565889,1.08036,2.98975,171.724,2.07694180987,118.998,2023-07-08 07:01:38,False,1.29097002542,103.76055056,0.0,0.0,1.29070335985,103.760683894,0.0,0.0,1.28753015517,103.755021635,3.241,57.9968,1.27712168675,103.748261574,4.06411,0.0,1.29084669271,103.760410563,0.0,9.99756,1.23850835864,103.738705556,0.0,181.0,1.29077335886,103.760597223,0.0,25.9991,1.29024669293,103.761163892,0.0,300.998,1.28509470378,103.758947681,0.0514444,210.998,1.28609002471,103.757173891,0.0,205.999
