name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9386093,lon_tug_9386093,sog_tug_9386093,heading_tug_9386093,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9678446,lon_tug_9678446,sog_tug_9678446,heading_tug_9678446,lat_tug_9727340,lon_tug_9727340,sog_tug_9727340,heading_tug_9727340,lat_tug_9727675,lon_tug_9727675,sog_tug_9727675,heading_tug_9727675,lat_tug_9727687,lon_tug_9727687,sog_tug_9727687,heading_tug_9727687,lat_tug_9813709,lon_tug_9813709,sog_tug_9813709,heading_tug_9813709,lat_tug_9830197,lon_tug_9830197,sog_tug_9830197,heading_tug_9830197,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9951604,lon_tug_9951604,sog_tug_9951604,heading_tug_9951604
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:12:17,True,1.26185454096,103.79006736,0.360111,0.0,1.29081669335,103.760712224,0.0,254.998,1.29025502474,103.761138892,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.2690769238,103.776383721,4.21844,256.998,1.29046053048,103.760803582,0.0514444,307.996,1.29035812906,103.760669243,0.0514444,309.996,1.28905071475,103.763228215,0.0514444,0.0,1.29075169247,103.760345562,0.0,119.998,1.29080669142,103.760398893,0.0,120.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:12:27,True,1.26187655051,103.790062288,0.102889,0.0,1.2908150266,103.760718893,0.0,254.998,1.29025502474,103.761138892,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.2690427186,103.776120462,4.21844,256.998,1.29046086158,103.760801055,0.0514444,307.996,1.29035850454,103.76067292,0.0514444,309.996,1.2890448176,103.763234226,0.0514444,0.0,1.2907416931,103.76035389,0.0,118.998,1.29080614172,103.76040078,0.0514444,120.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:12:37,True,1.26186169253,103.790072226,0.0,0.0,1.29082578181,103.760731098,0.0514444,254.998,1.29024335879,103.761158891,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.26900513228,103.775850123,4.21844,256.998,1.2904700327,103.760784874,0.0514444,306.996,1.29035921131,103.760679817,0.0514444,309.996,1.28903898272,103.763253092,0.0514444,0.0,1.29074169148,103.760370562,0.0,118.998,1.29079669181,103.760400561,0.0,120.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:12:47,True,1.26187280856,103.790059116,0.0514444,0.0,1.29083037642,103.760729212,0.0514444,254.998,1.29025335915,103.76111556,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.26879280139,103.775330462,4.21844,254.998,1.29047502681,103.760778889,0.0,306.996,1.29035954041,103.760683037,0.0514444,309.996,1.28903896331,103.763266456,0.0514444,0.0,1.29073761152,103.760378222,0.0,117.999,1.29079502484,103.760400561,0.0,120.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:12:57,True,1.26188835938,103.790053895,0.0,0.0,1.29082564914,103.760725482,0.0514444,254.998,1.29025335915,103.76111556,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.26869688086,103.775072926,4.26989,249.999,1.29047669211,103.760793894,0.0,306.996,1.29036024498,103.760689934,0.0514444,309.996,1.28903612842,103.763268861,0.0514444,0.0,1.29073502613,103.760380557,0.0,117.999,1.29079780688,103.760402448,0.0514444,119.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:13:07,True,1.2618983594,103.790068895,0.0,0.0,1.29083002506,103.76072056,0.0,254.998,1.29025169215,103.761052224,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.26861830964,103.774816724,4.26989,249.999,1.29048502474,103.760792227,0.0,307.996,1.29036062045,103.76069362,0.0514444,309.996,1.28903911162,103.76327753,0.0514444,0.0,1.29072997494,103.760395553,0.0514444,116.999,1.29079761938,103.7604073,0.0514444,118.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:13:17,True,1.26188933384,103.790063126,0.0514444,0.0,1.29082335941,103.760722227,0.0,254.998,1.29026335991,103.761083892,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.26832858378,103.77418052,4.26989,250.999,1.29048336008,103.760795561,0.0,307.996,1.29036094955,103.76069684,0.0514444,309.996,1.28903616412,103.763279785,0.0514444,0.0,1.29073223593,103.760397887,0.0514444,115.999,1.29080132869,103.760407598,0.0514444,118.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:13:27,True,1.2618754806,103.790055071,0.0514444,0.0,1.29081335986,103.760725562,0.0,254.998,1.29026169154,103.761107224,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.2682360708,103.773928143,4.26989,250.999,1.29048335817,103.760803889,0.0,307.996,1.29036132502,103.760700517,0.0514444,309.996,1.28903063343,103.763284015,0.0514444,0.0,1.29073927712,103.760401555,0.0514444,115.999,1.29080160474,103.76040916,0.0514444,116.999
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:13:37,True,1.26185992931,103.790063539,0.0514444,0.0,1.29080502479,103.76072056,0.0,254.998,1.29026169154,103.761107224,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.26816125763,103.77359754,4.32133,249.0,1.29048186534,103.760796114,0.0514444,307.996,1.2903620318,103.760707414,0.0514444,309.996,1.28906002563,103.763230558,0.0514444,0.0,1.29073336003,103.760405556,0.0,114.0,1.29080188073,103.760409046,0.0514444,116.999
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:13:47,True,1.26185669239,103.790058893,0.0514444,0.0,1.29080169268,103.760710557,0.0,254.998,1.29027669203,103.761103889,0.0,0.0,1.29101002677,103.760563897,0.0,0.0,1.26798159326,103.7731222,4.32133,249.0,1.29048169269,103.760783891,0.0,307.996,1.29036240728,103.76071109,0.0514444,309.996,1.28906485422,103.763226969,0.0514444,0.0,1.29074169278,103.760407223,0.0,114.0,1.29080206846,103.760410854,0.0514444,116.999
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:13:57,True,1.26185502607,103.790063894,0.0,0.0,1.29079669145,103.76070223,0.0,254.998,1.29027669308,103.76113389,0.0,0.0,1.29098530785,103.760590617,0.308667,0.0,1.26787585614,103.772829118,4.26989,249.0,1.29048669142,103.760783891,0.0,306.996,1.29036273637,103.760714311,0.0514444,309.996,1.2890696723,103.763238376,0.0514444,0.0,1.29074669354,103.76040223,0.0,113.0,1.29079835915,103.760410555,0.0514444,115.999
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:14:07,True,1.26184835927,103.790040558,0.0,0.0,1.290781693,103.760700564,0.0,254.998,1.29027669308,103.76113389,0.0,0.0,1.2911203925,103.760770329,1.44044,0.0,1.2677621614,103.772543811,4.26989,249.0,1.2904885307,103.760786111,0.0514444,306.996,1.29036344094,103.760721208,0.0514444,309.996,1.28906036747,103.763219431,0.0514444,0.0,1.29073669143,103.760395561,0.0,114.0,1.29079669229,103.76041389,0.0,115.999
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28965669279,103.761607225,0.0,0.0,1.43117,0.0,2.09439510239,119.998,2023-06-17 14:14:17,True,1.26186169243,103.790043892,0.0,0.0,1.29078002596,103.760698896,0.0,254.998,1.29026502562,103.761110558,0.0,0.0,1.29118368983,103.760852582,1.44044,0.0,1.26766240593,103.772290663,4.26989,249.0,1.29049053116,103.760788576,0.0514444,306.996,1.29035835814,103.760653896,0.0514444,309.996,1.28906974668,103.763218501,0.0514444,0.0,1.29073502475,103.760403889,0.0,114.0,1.29079669229,103.76041389,0.0,115.999
