name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9386093,lon_tug_9386093,sog_tug_9386093,heading_tug_9386093,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9678446,lon_tug_9678446,sog_tug_9678446,heading_tug_9678446,lat_tug_9727340,lon_tug_9727340,sog_tug_9727340,heading_tug_9727340,lat_tug_9727675,lon_tug_9727675,sog_tug_9727675,heading_tug_9727675,lat_tug_9813709,lon_tug_9813709,sog_tug_9813709,heading_tug_9813709,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335958,103.76167389,0.0,0.0,2.82743,0.0,2.09439510239,119.998,2023-06-17 15:42:07,True,1.28898300191,103.756104814,5.76178,0.0,1.29078335895,103.76073389,0.0,254.998,1.28978665782,103.760922794,0.411556,0.0,1.29090893002,103.760611179,0.0514444,0.0,1.29104902698,103.760301511,0.0514444,117.999,1.29066669183,103.760278894,0.0514444,309.996,1.29067442187,103.760406523,0.205778,116.999,1.27099984024,103.742278178,5.81322,215.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28983335958,103.76167389,0.0,0.0,3.735,0.0,2.09439510239,119.998,2023-06-17 15:42:17,True,1.28894781841,103.75574016,5.76178,0.0,1.29078915645,103.76072007,0.0514444,254.998,1.28977201344,103.760944205,0.411556,0.0,1.2909103561,103.760604387,0.0514444,0.0,1.29105204955,103.760299352,0.0514444,117.999,1.29066669183,103.760278894,0.0514444,309.996,1.29067818205,103.760409147,0.154333,114.0,1.27065979451,103.742020452,6.32767,211.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.2897866923,103.761653893,0.0,0.0,3.735,0.0,2.09439510239,119.998,2023-06-17 15:42:27,True,1.28893161094,103.755290329,5.71033,0.0,1.29078755612,103.760731486,0.0514444,254.998,1.28969746405,103.760972638,0.565889,0.0,1.29098123583,103.760573243,0.0514444,0.0,1.29105327238,103.760289437,0.102889,119.998,1.29066669183,103.760278894,0.0514444,309.996,1.29069623628,103.760411243,0.205778,110.995,1.27025122655,103.741768853,6.482,213.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28966669257,103.761673895,0.0,0.0,2.46091,0.0,2.09439510239,119.998,2023-06-17 15:42:37,True,1.28889093065,103.754484365,5.71033,0.0,1.29078141373,103.760732793,0.0514444,254.998,1.28966308583,103.761009406,0.565889,0.0,1.29099779877,103.760548699,0.0514444,0.0,1.29105403865,103.760292867,0.0514444,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29071620288,103.760422115,0.154333,111.995,1.26953067617,103.741277296,6.482,213.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28950002591,103.762000561,0.0,0.0,5.98648,0.0,2.09439510239,119.998,2023-06-17 15:42:47,True,1.28886764335,103.754065597,5.86467,0.0,1.29077835807,103.760735558,0.0514444,254.998,1.28963470158,103.761031124,0.565889,0.0,1.29100502524,103.760547225,0.0,0.0,1.29105483119,103.760289735,0.0514444,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29073510994,103.760440252,0.154333,111.995,1.26919471819,103.741029407,6.482,213.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28950002591,103.762000561,0.0,0.0,5.98648,0.0,2.09439510239,119.998,2023-06-17 15:42:57,True,1.28881690154,103.753674041,5.96756,0.0,1.29078388657,103.760732012,0.0514444,254.998,1.28954714822,103.761078924,0.617333,0.0,1.29100669163,103.760530561,0.0,0.0,1.29105562593,103.760286593,0.0514444,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29074635094,103.760453957,0.257222,117.999,1.26879090868,103.740765839,6.58489,211.998
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28964669301,103.761920556,0.0,0.0,5.98648,0.0,2.09439510239,119.998,2023-06-17 15:43:07,True,1.28872381392,103.752934452,5.96756,0.0,1.29078513163,103.760726177,0.0514444,254.998,1.28951928662,103.761082882,0.565889,0.0,1.29099835882,103.760527227,0.0,0.0,1.29105080591,103.760282873,0.102889,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29077691565,103.760467628,0.205778,116.999,1.26808420549,103.74031233,6.63633,213.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28966669292,103.762000564,0.0,0.0,2.75762,0.0,2.09439510239,119.998,2023-06-17 15:43:17,True,1.28866373559,103.752567413,5.91611,0.0,1.29078864466,103.760732495,0.0514444,254.998,1.28949034154,103.761103855,0.565889,0.0,1.29100292011,103.760519435,0.0514444,0.0,1.29104934842,103.760275616,0.102889,120.998,1.29066669183,103.760278894,0.0514444,309.996,1.29076626249,103.760469085,0.205778,117.999,1.26775422122,103.740041547,6.68778,214.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28967669247,103.762060557,0.0,0.0,2.40855,0.0,2.09439510239,119.998,2023-06-17 15:43:27,True,1.28853474006,103.752164593,5.91611,0.0,1.29077930297,103.760733197,0.0514444,254.998,1.28944444678,103.761139877,0.463,0.0,1.29101466215,103.760528762,0.0514444,0.0,1.29107902719,103.760273193,0.0514444,119.998,1.29066669183,103.760278894,0.0514444,309.996,1.29077142235,103.760467593,0.154333,119.998,1.26737323545,103.739752567,6.63633,213.997
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28966669292,103.762000564,0.0,0.0,2.44346,0.0,2.09439510239,119.998,2023-06-17 15:43:37,True,1.28820906038,103.751409007,5.35022,0.0,1.29077364644,103.760737541,0.0514444,254.998,1.28942751246,103.761151881,0.411556,0.0,1.29104335931,103.760552225,0.0,0.0,1.29107418057,103.760266744,0.0514444,118.998,1.29066669183,103.760278894,0.0514444,309.996,1.29078226082,103.760461836,0.154333,117.999,1.26669048213,103.739283587,6.58489,217.996
ALS SUMIRE,9V2582  ,9153070,SG,,CS,14089,564391000,1.28971502579,103.761980556,0.0,0.0,2.44346,0.0,2.09439510239,119.998,2023-06-17 15:43:47,True,1.28807665925,103.751098191,5.35022,0.0,1.29077538846,103.7607369,0.0514444,254.998,1.28940303385,103.761168721,0.411556,0.0,1.29106208313,103.760570897,0.0514444,0.0,1.29107282921,103.760263296,0.0514444,118.998,1.29066669183,103.760278894,0.0514444,309.996,1.29079172169,103.760460125,0.154333,115.999,1.26629546368,103.73891926,6.58489,220.995
