timestamp,imo,type,length,grossTonnage
1/5/2023 9:20,9767912,TA,91,2882
1/5/2023 9:23,9812353,TA,104,4565
1/5/2023 9:33,9710220,CS,317,94416
1/5/2023 10:19,9439838,TA,139,11267
1/5/2023 10:22,9351048,CS,238,39906
1/5/2023 10:28,0,TA,75,1492
1/5/2023 10:38,9434242,TA,106,4726
1/5/2023 10:44,9496068,TA,105,4709
1/5/2023 10:55,9046423,CS,155,11086
1/5/2023 11:00,9588689,TA,86,2405
1/5/2023 11:03,9832377,TA,146,13136
1/5/2023 11:12,9467823,TA,90,2834
1/5/2023 11:24,9692923,TA,51,209
1/5/2023 11:36,9560986,TA,108,5064
1/5/2023 11:44,9594896,TA,214,42411
1/5/2023 11:45,9507506,TA,106,4838
1/5/2023 11:46,9628790,TA,82,2067
1/5/2023 11:50,9614115,TA,108,5138
1/5/2023 11:55,9827059,TA,190,29557
1/5/2023 12:26,9730971,TA,126,8294
1/5/2023 12:36,9282962,CS,264,54592
1/5/2023 12:47,9692911,TA,51,209
1/5/2023 13:00,9438298,TA,108,5034
1/5/2023 13:06,9836799,TA,82,1993
1/5/2023 13:19,9644940,TA,101,4062
1/5/2023 13:30,10350203,TA,83,2097
1/5/2023 13:44,9648790,TA,106,4855
1/5/2023 13:45,9655755,TA,58,495
1/5/2023 13:59,9540900,TA,77,1642
1/5/2023 14:00,9647916,TA,82,1999
1/5/2023 14:01,9671876,TA,69,1074
1/5/2023 14:21,9512123,TA,139,11290
1/5/2023 15:02,9318125,CS,264,54309
1/5/2023 15:08,9576911,TA,107,4915
1/5/2023 15:09,9198276,CS,279,64254
1/5/2023 15:10,9583665,TA,191,29840
1/5/2023 15:20,9655365,TA,88,2608
1/5/2023 15:24,9240873,CS,209,27093
1/5/2023 15:27,9088029,TA,55,347
1/5/2023 15:30,9503689,TA,106,4758
1/5/2023 15:44,9711092,TA,91,2878
1/5/2023 16:03,9467299,CS,372,151993
1/5/2023 16:08,9787895,TA,151,14596
1/5/2023 16:09,9441764,CS,161,12545
1/5/2023 16:19,9587881,TA,67,942
1/5/2023 16:30,9085596,CS,138,7869
1/5/2023 16:36,9465306,CS,364,142740
1/5/2023 16:40,9355654,TA,107,4969
1/5/2023 16:42,9692911,TA,51,209
1/5/2023 16:45,9692923,TA,51,209
1/5/2023 17:24,9299329,CS,172,15167
1/5/2023 17:24,9884954,TA,100,3965
1/5/2023 17:54,9550589,TA,99,3828
1/5/2023 18:03,9460629,TA,111,5589
1/5/2023 18:16,9747118,TA,191,29848
1/5/2023 18:24,9537214,TA,77,1589
1/5/2023 18:46,9783409,TA,216,43687
1/5/2023 18:50,9589580,TA,106,4832
1/5/2023 18:59,9525819,TA,109,5219
1/5/2023 19:05,9813412,TA,99,3892
1/5/2023 19:06,9450179,TA,127,8557
1/5/2023 19:18,9662655,TA,102,4194
1/5/2023 19:30,9573173,TA,77,1602
1/5/2023 19:33,9924223,CS,370,149944
1/5/2023 19:38,9762338,CS,403,194308
1/5/2023 19:39,9629990,TA,104,4557
1/5/2023 19:44,9671876,TA,69,1074
1/5/2023 19:48,9536686,TA,100,3949
1/5/2023 19:57,9839208,CS,431,236583
1/5/2023 20:07,9908566,TA,114,6113
1/5/2023 20:13,9825051,TA,114,5972
1/5/2023 20:34,9910997,TA,114,6113
1/5/2023 20:49,9244556,CS,198,23119
1/5/2023 20:49,9405849,TA,191,29768
1/5/2023 21:15,9088146,TA,63,732
1/5/2023 21:19,9360427,TA,174,22521
1/5/2023 21:26,9692911,TA,51,209
1/5/2023 22:21,9774630,TA,58,495
1/5/2023 22:32,9655377,TA,88,2608
1/5/2023 22:41,9228289,CS,132,6899
1/5/2023 23:01,9858709,CS,223,32965
1/5/2023 23:05,9435791,TA,126,8247
1/5/2023 23:14,9608049,TA,90,2818
1/5/2023 23:29,9391268,CS,238,40030
1/5/2023 23:42,9088029,TA,55,347
1/5/2023 23:43,9240469,CS,148,9661
1/5/2023 23:59,9809887,TA,100,3965
2/5/2023 0:07,9272503,TA,187,28131
2/5/2023 0:17,9511234,TA,115,6185
2/5/2023 0:23,9450222,TA,100,3924
2/5/2023 0:28,9651876,TA,92,2979
2/5/2023 0:30,9236444,CS,178,16802
2/5/2023 0:54,9371098,CS,162,12559
2/5/2023 0:58,9058127,TA,62,656
2/5/2023 1:16,9812353,TA,104,4565
2/5/2023 1:20,9635066,TA,102,4189
2/5/2023 1:25,9532317,TA,90,2756
2/5/2023 1:27,9629926,TA,191,29725
2/5/2023 1:45,9084372,TA,59,515
2/5/2023 1:50,9682332,TA,190,29460
2/5/2023 1:55,9424924,CS,298,78316
2/5/2023 2:12,9160401,CS,207,26131
2/5/2023 2:15,9910973,TA,114,6113
2/5/2023 2:25,9484508,CS,239,40465
2/5/2023 2:31,9571210,TA,143,12320
2/5/2023 2:45,9703928,TA,56,399
2/5/2023 3:10,0,TA,107,4969
