hour,BC,CS,TA
0,0.03260869565217391,1.7717391304347827,5.086956521739131
1,0.06521739130434782,1.5869565217391304,4.271739130434782
2,0.08695652173913043,1.3804347826086956,4.434782608695652
3,0.06521739130434782,1.2173913043478262,4.217391304347826
4,0.17391304347826086,1.315217391304348,3.5652173913043477
5,0.021739130434782608,1.1521739130434783,3.2717391304347827
6,0.11956521739130435,1.9891304347826086,4.608695652173913
7,0.010869565217391304,2.0217391304347827,5.565217391304348
8,0.09782608695652174,1.0434782608695652,4.391304347826087
9,0.07608695652173914,1.0978260869565217,4.554347826086956
10,0.06521739130434782,1.315217391304348,4.532608695652174
11,0.043478260869565216,1.2391304347826086,4.880434782608695
12,0.021739130434782608,1.423913043478261,4.891304347826087
13,0.010869565217391304,1.108695652173913,4.739130434782608
14,0.05434782608695652,1.7173913043478262,4.510869565217392
15,0.043478260869565216,1.7717391304347827,5.826086956521739
16,0.06521739130434782,1.934782608695652,5.478260869565218
17,0.06521739130434782,1.641304347826087,5.184782608695652
18,0.08695652173913043,1.565217391304348,5.576086956521739
19,0.043478260869565216,1.5978260869565217,4.782608695652174
20,0.043478260869565216,0.8478260869565217,4.108695652173913
21,0.06521739130434782,1.2826086956521738,3.989130434782609
22,0.07608695652173914,1.826086956521739,4.717391304347826
23,0.043478260869565216,1.6195652173913044,4.858695652173913
