name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9382528,lon_tug_9382528,sog_tug_9382528,heading_tug_9382528,lat_tug_9386081,lon_tug_9386081,sog_tug_9386081,heading_tug_9386081,lat_tug_9386108,lon_tug_9386108,sog_tug_9386108,heading_tug_9386108,lat_tug_9456472,lon_tug_9456472,sog_tug_9456472,heading_tug_9456472,lat_tug_9511870,lon_tug_9511870,sog_tug_9511870,heading_tug_9511870,lat_tug_9511909,lon_tug_9511909,sog_tug_9511909,heading_tug_9511909,lat_tug_9727338,lon_tug_9727338,sog_tug_9727338,heading_tug_9727338,lat_tug_9813709,lon_tug_9813709,sog_tug_9813709,heading_tug_9813709,lat_tug_9830197,lon_tug_9830197,sog_tug_9830197,heading_tug_9830197,lat_tug_9830202,lon_tug_9830202,sog_tug_9830202,heading_tug_9830202,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417,lat_tug_9892860,lon_tug_9892860,sog_tug_9892860,heading_tug_9892860,lat_tug_9951604,lon_tug_9951604,sog_tug_9951604,heading_tug_9951604,lat_tug_9951616,lon_tug_9951616,sog_tug_9951616,heading_tug_9951616
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:34:42,True,1.29034002528,103.760827226,0.0514444,0.0,1.27480721908,103.750062727,3.39533,166.998,1.29106281606,103.760318867,0.0514444,0.0,1.29084169155,103.760155558,0.0,0.0,1.28408591064,103.74242132,5.50456,0.0,1.29073306253,103.76054619,0.0514444,272.999,1.29069002578,103.760733893,0.0,0.0,1.29094555504,103.760238915,0.0514444,120.998,1.29084674359,103.760600485,0.0514444,0.0,1.29024856258,103.760712244,0.102889,308.996,1.29093835859,103.76058889,52.6277,294.999,1.2905971293,103.760408325,0.0514444,126.996,1.29050016512,103.760374545,0.102889,114.0,1.28242897669,103.767046611,0.823111,342.999
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:34:52,True,1.29032669316,103.760807228,0.102889,0.0,1.27497270317,103.749893596,3.34389,166.998,1.29105463322,103.760310873,0.0514444,0.0,1.29084619126,103.760154707,0.0514444,0.0,1.2842912257,103.742699981,5.65889,0.0,1.29072502486,103.760522226,0.0,272.0,1.2906950251,103.760750557,0.0,0.0,1.29094852464,103.76023759,0.0514444,120.998,1.2908425966,103.760585857,0.0514444,0.0,1.29024823102,103.76070174,0.102889,309.996,1.29093835859,103.76058889,52.6277,294.999,1.2905944335,103.760410141,0.0514444,126.996,1.29049462358,103.760384189,0.102889,114.0,1.28239049373,103.767080105,0.874556,341.999
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:35:02,True,1.29032669316,103.760807228,0.0514444,0.0,1.27532856025,103.749573839,3.34389,166.998,1.29105187982,103.760307355,0.0514444,0.0,1.29085036843,103.760148713,0.0514444,0.0,1.28450834456,103.743063933,5.65889,0.0,1.29072708897,103.760514162,0.0514444,270.0,1.29067669198,103.760728892,0.0,0.0,1.29095192037,103.760236072,0.0514444,120.998,1.29084109356,103.760601415,0.0514444,0.0,1.29024131295,103.760683129,0.102889,310.995,1.29093002578,103.760585556,52.6277,294.999,1.2905886533,103.760414029,0.0514444,126.996,1.29049162326,103.760391077,0.102889,110.995,1.2822822468,103.767170963,0.926,345.998
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:35:13,True,1.29033502585,103.760807228,0.0,0.0,1.27537708592,103.749448094,2.67511,166.998,1.2910480139,103.760311453,0.0514444,0.0,1.29084689553,103.760152995,0.0514444,0.0,1.28490868585,103.743890194,6.019,0.0,1.29072505559,103.76051726,0.0514444,270.0,1.29067669198,103.760728892,0.0,0.0,1.29095786179,103.760233421,0.0514444,120.998,1.29083794721,103.760599441,0.0514444,0.0,1.29023800305,103.760676504,0.102889,310.995,1.29093669173,103.760592224,52.6277,294.999,1.2905859575,103.760415837,0.0514444,126.996,1.29049157041,103.760394824,0.102889,108.995,1.28219967514,103.767107252,0.926,349.997
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:35:22,True,1.29033502585,103.760807228,0.0,0.0,1.27548503204,103.749318434,2.67511,166.998,1.29104901401,103.760309329,0.0514444,0.0,1.29084158322,103.760151592,0.0514444,0.0,1.28506661357,103.744174763,6.019,0.0,1.29073542596,103.760510836,0.0514444,268.995,1.2906700258,103.760715564,0.0,0.0,1.29096083139,103.760232096,0.0514444,120.998,1.29086283491,103.76060051,0.0514444,0.0,1.29024938332,103.760695045,0.102889,310.995,1.29093669173,103.760592224,52.6277,294.999,1.29058326169,103.760417653,0.0514444,126.996,1.29048885517,103.760409066,0.102889,106.996,1.28206487229,103.766989727,1.13178,5.99854
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:35:32,True,1.29034335971,103.760840563,0.0514444,0.0,1.27575458926,103.749041817,3.03522,166.998,1.29104502632,103.760303889,0.0,0.0,1.29084278872,103.760150732,0.0514444,0.0,1.28531809048,103.744479079,6.07044,0.0,1.2907331453,103.760514329,0.0514444,268.995,1.29067002615,103.760725558,0.0,0.0,1.29096422712,103.760230578,0.0514444,120.998,1.29086926347,103.760575116,0.0514444,0.0,1.29026972307,103.760706443,0.102889,305.997,1.29093669185,103.760595559,52.6277,294.999,1.2905774815,103.76042154,0.0514444,126.996,1.29048492532,103.760416059,0.102889,104.996,1.28201658113,103.766936553,1.13178,5.99854
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:35:42,True,1.29034335924,103.760827226,0.0514444,0.0,1.27589534422,103.748891474,3.03522,166.998,1.29104169201,103.760293895,0.0,0.0,1.29084689966,103.760145124,0.0514444,0.0,1.28568570907,103.745229353,6.17333,0.0,1.29073162634,103.760516654,0.0514444,268.995,1.29067002615,103.760725558,0.0,0.0,1.29089335845,103.760262223,0.0514444,120.998,1.29088138931,103.760573597,0.0514444,0.0,1.29026540266,103.760720228,0.102889,305.997,1.29093835906,103.760602228,52.6277,294.999,1.29057478569,103.760423357,0.0514444,126.996,1.29048198454,103.760420772,0.102889,104.996,1.28199119054,103.766883844,1.08033,10.9973
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:35:52,True,1.29034335924,103.760827226,0.0514444,0.0,1.27618146906,103.748600957,3.49822,166.998,1.2910366931,103.760288893,0.0,0.0,1.29085073684,103.760139895,0.0514444,0.0,1.28586454043,103.745575177,6.17333,0.0,1.29073047628,103.760524148,0.0514444,267.995,1.29067336017,103.760727225,0.0,0.0,1.29092845654,103.760228535,0.0514444,124.997,1.29087670733,103.760602317,0.0514444,0.0,1.2902509149,103.76073727,0.102889,301.998,1.29095002618,103.760615556,52.6277,294.0,1.29061263134,103.760477303,0.0514444,104.996,1.29048313062,103.760425413,0.102889,99.9976,1.2819220179,103.766794133,1.08033,18.9954
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:36:02,True,1.29034169273,103.760840563,0.0514444,0.0,1.27633248983,103.748440039,3.49822,166.998,1.29103922994,103.760287261,0.0514444,0.0,1.29083212858,103.760142361,0.0514444,0.0,1.28619705756,103.746171569,6.22478,0.0,1.29073068614,103.760527377,0.0514444,267.995,1.29067336017,103.760727225,0.0,0.0,1.29092863955,103.760221603,0.0514444,124.997,1.29087429568,103.760710028,0.0514444,0.0,1.29025403449,103.760731583,0.102889,301.998,1.29095002606,103.76061223,52.6277,294.0,1.29061076795,103.760479953,0.0514444,104.996,1.29048477555,103.760426458,0.0514444,97.998,1.28189155417,103.766728033,1.08033,22.9999
X PRESS GANGES,9V8255  ,9301093,SG,,CS,8971,563054900,1.28985835881,103.761833889,0.0,0.0,0.00174533,0.0,2.07694180987,118.998,2023-05-29 06:36:13,True,1.29033169307,103.760840564,0.0514444,0.0,1.27633248983,103.748440039,3.49822,166.998,1.29103922994,103.760287261,0.0514444,0.0,1.29083212858,103.760142361,0.0514444,0.0,1.28637535296,103.74664211,6.22478,0.0,1.29071469413,103.760525859,0.0514444,267.995,1.29068835962,103.760757226,0.0,0.0,1.29092873657,103.760217909,0.0514444,124.997,1.29088539995,103.760665891,0.0514444,0.0,1.29024395488,103.760718808,0.0514444,303.997,1.29095002606,103.76061223,52.6277,294.0,1.29060863741,103.760482989,0.0514444,104.996,1.29048445136,103.760436847,0.0514444,95.9985,1.28180977132,103.766581251,1.18322,32.9974
