name,callsign,imonumber,flag,length,type,grosstonnage,mmsinumber,latitudedegrees,longitudedegrees,speedoverground,speedoverwater,courseoverground,courseoverwater,headingoverground,headingoverwater,timestamp,is_stopped,lat_tug_9386079,lon_tug_9386079,sog_tug_9386079,heading_tug_9386079,lat_tug_9456472,lon_tug_9456472,sog_tug_9456472,heading_tug_9456472,lat_tug_9456513,lon_tug_9456513,sog_tug_9456513,heading_tug_9456513,lat_tug_9511882,lon_tug_9511882,sog_tug_9511882,heading_tug_9511882,lat_tug_9511909,lon_tug_9511909,sog_tug_9511909,heading_tug_9511909,lat_tug_9678446,lon_tug_9678446,sog_tug_9678446,heading_tug_9678446,lat_tug_9727338,lon_tug_9727338,sog_tug_9727338,heading_tug_9727338,lat_tug_9813709,lon_tug_9813709,sog_tug_9813709,heading_tug_9813709,lat_tug_9830202,lon_tug_9830202,sog_tug_9830202,heading_tug_9830202,lat_tug_9853682,lon_tug_9853682,sog_tug_9853682,heading_tug_9853682,lat_tug_9868417,lon_tug_9868417,sog_tug_9868417,heading_tug_9868417,lat_tug_9892860,lon_tug_9892860,sog_tug_9892860,heading_tug_9892860,lat_tug_9903308,lon_tug_9903308,sog_tug_9903308,heading_tug_9903308
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:02:12,True,1.29115835917,103.760313897,0.0,83.996,1.2910432918,103.760267333,0.0514444,0.0,1.29070502541,103.760332226,0.0,0.0,1.29101002618,103.760547224,0.0,0.0,1.29086850015,103.760467668,0.0514444,281.997,1.29067669274,103.760875563,0.0,0.0,1.2907333583,103.760418894,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29081985335,103.760600731,0.0514444,38.996,1.29079002476,103.760113897,0.0,111.995,1.29080502493,103.760163895,0.0,293.0,1.29056835809,103.760040556,0.0,298.998,1.2890483597,103.763187228,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:02:22,True,1.29115982505,103.760308834,0.0514444,83.996,1.29104499181,103.76026478,0.0514444,0.0,1.29070669269,103.760340562,0.0,0.0,1.29102169164,103.760513889,0.0,0.0,1.29087211675,103.760468546,0.0514444,281.997,1.29067502629,103.760890559,0.0,0.0,1.29073669202,103.760412225,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29082147352,103.760587999,0.0514444,39.9957,1.29078169201,103.76011223,0.0,111.995,1.29080669209,103.760168897,0.0,293.0,1.29056835809,103.760040556,0.0,298.998,1.28905169145,103.763187228,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:02:32,True,1.29116835866,103.760308895,0.0,83.996,1.29104002599,103.760258892,0.0514444,0.0,1.29070669281,103.760343896,0.0,0.0,1.29101669173,103.760480562,0.0,0.0,1.29086002619,103.760468897,0.0,281.997,1.29067669344,103.760895561,0.0,0.0,1.29073669202,103.760412225,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29083442897,103.760570475,0.0514444,39.9957,1.29077835817,103.760115556,0.0,111.995,1.29081502484,103.760170564,0.0,293.0,1.29056835809,103.760040556,0.0,298.998,1.28904502574,103.763187228,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:02:42,True,1.29116835866,103.760308895,0.0,83.996,1.29103502523,103.760263894,0.0,0.0,1.29070669281,103.760343896,0.0,0.0,1.29101669173,103.760480562,0.0,0.0,1.29085759546,103.760474109,0.0,281.997,1.29066335914,103.760938892,0.0,0.0,1.29075669309,103.760398895,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29082488441,103.760578452,0.0514444,40.9955,1.29077835817,103.760115556,0.0,111.995,1.29082002565,103.760167229,0.0,291.995,1.29056835809,103.760040556,0.0,298.998,1.28904169179,103.763187229,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:02:52,True,1.2911616926,103.760298892,0.0,83.996,1.29103335819,103.760262227,0.0,0.0,1.29070835978,103.760343896,0.0,0.0,1.29100502682,103.760467225,0.0,0.0,1.29086075944,103.760474873,0.0514444,281.997,1.29065169249,103.760938892,0.0,0.0,1.29077002689,103.760403896,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29082389516,103.760575372,0.0514444,40.9955,1.29078169231,103.760120557,0.0,110.995,1.2908183585,103.760162228,0.0,291.995,1.29056835809,103.760040556,0.0,298.998,1.28904169179,103.763187229,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:03:02,True,1.29116875813,103.760304236,0.0514444,83.996,1.29104169226,103.760238894,0.0,0.0,1.29071669229,103.760338894,0.0,0.0,1.29100835904,103.760480562,0.0,0.0,1.29086169317,103.760468897,0.0,280.997,1.29067669239,103.76086556,0.0,0.0,1.29078169174,103.760415558,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29082683614,103.760576407,0.0514444,39.9957,1.2907850265,103.760127226,0.0,109.995,1.29082335932,103.760158893,0.0,291.995,1.29056835809,103.760040556,0.0,298.998,1.28904169179,103.763187229,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:03:12,True,1.29116875813,103.760304236,0.0514444,83.996,1.29104169226,103.760238894,0.0,0.0,1.29072169317,103.760337227,0.0,0.0,1.29103336002,103.760500559,0.0,0.0,1.29086169317,103.760468897,0.0514444,280.997,1.29069502495,103.760808892,0.0,0.0,1.29076002573,103.760423894,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29082601469,103.760573275,0.0514444,39.9957,1.2907850265,103.760127226,0.0,109.995,1.29082502612,103.760153891,0.0,290.995,1.29056835809,103.760040556,0.0,298.998,1.28904669272,103.763187228,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:03:22,True,1.29115669322,103.760280562,0.0,83.996,1.29104995871,103.760238999,0.0514444,0.0,1.29072002602,103.760332225,0.0,0.0,1.2910457265,103.760498251,0.0,0.0,1.29086818872,103.760464658,0.0514444,280.997,1.29069502495,103.760808892,0.0,0.0,1.29075169262,103.760412224,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29082669331,103.760595563,0.0,40.9955,1.29079002517,103.760125559,0.0,108.995,1.29082169204,103.760150557,0.0,290.995,1.29056835809,103.760040556,0.0,298.998,1.28905002668,103.763187228,0.205778,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:03:32,True,1.29115669322,103.760280562,0.0514444,83.996,1.29105247352,103.76023856,0.0514444,0.0,1.29071502508,103.760332226,0.0,0.0,1.29102835956,103.760513897,0.0,0.0,1.29087016689,103.760460999,0.0514444,280.997,1.29069169146,103.760822229,0.0,0.0,1.29075169262,103.760412224,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29083169198,103.760593895,0.0,40.9955,1.29079002517,103.760125559,0.0,108.995,1.29082169192,103.760147223,0.0,289.995,1.29056835809,103.760040556,0.0,298.998,1.28905335843,103.763187228,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:03:42,True,1.29115803751,103.760271137,0.0514444,83.996,1.29105573909,103.760240333,0.0514444,0.0,1.29071002665,103.760340562,0.0,0.0,1.29101169198,103.760513889,0.0,0.0,1.29087333086,103.760461763,0.0514444,280.997,1.290700026,103.760812226,0.0,0.0,1.29076335897,103.760403897,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29083169198,103.760593895,0.0,40.9955,1.29078835837,103.76013056,0.0,108.995,1.29082002488,103.760145555,0.0,289.995,1.29056835809,103.760040556,0.0,298.998,1.28905669239,103.763187228,0.0514444,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:03:52,True,1.29115897797,103.76026804,0.0514444,83.996,1.29104291583,103.760249555,0.0514444,0.0,1.2907100267,103.760342229,0.0,0.0,1.29100335929,103.760513889,0.0,0.0,1.29087502668,103.760465562,0.0,280.997,1.29068835944,103.76087723,0.0,0.0,1.29077502538,103.760397227,0.0,0.0,1.29062002584,103.760295559,0.0,355.995,1.29082592368,103.76055956,0.0514444,39.9957,1.29079002517,103.760125559,0.0,108.995,1.29083169332,103.760133893,0.0,288.995,1.29056835809,103.760040556,0.0,298.998,1.28906002635,103.763187228,0.205778,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:04:02,True,1.29116637127,103.760301463,0.102889,83.996,1.2910441413,103.760251889,0.0514444,0.0,1.29071669253,103.760345563,0.0,0.0,1.29100335929,103.760513889,0.0,0.0,1.29087804718,103.760467554,0.0514444,280.997,1.29069502654,103.760853889,0.0,0.0,1.29077502538,103.760397227,0.0,0.0,1.29059982083,103.760286004,0.0,355.995,1.29082502494,103.760556453,0.0514444,39.9957,1.29079002517,103.760125559,0.0,108.995,1.29083169332,103.760133893,0.0,288.995,1.29056835809,103.760040556,0.0,298.998,1.28905335843,103.763187228,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:04:12,True,1.29116950852,103.760295794,0.102889,83.996,1.29104699841,103.760253442,0.0514444,0.0,1.29071835951,103.760345563,0.0,0.0,1.29101169198,103.760513889,0.0,0.0,1.29088121116,103.760468326,0.0514444,280.997,1.29070169322,103.760818895,0.0,0.0,1.29080002506,103.760380563,0.0,0.0,1.29059661491,103.760285442,0.0,355.995,1.29082412842,103.760553338,0.0514444,39.9957,1.29079169221,103.760127226,0.0,108.995,1.29083002617,103.760128892,0.0,288.995,1.29056835809,103.760040556,0.0,298.998,1.28907158717,103.763191597,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:04:22,True,1.29115288936,103.760291381,0.102889,83.996,1.29103995743,103.760255663,0.0514444,0.0,1.29071835963,103.760348889,0.0,0.0,1.29101669291,103.760513889,0.0,0.0,1.29089013995,103.760467202,0.0514444,279.998,1.29070169322,103.760818895,0.0,0.0,1.29080669292,103.760378896,0.0,0.0,1.29059340899,103.760284872,0.0514444,355.995,1.29082239341,103.760565123,0.0514444,40.9955,1.29078169207,103.760113897,0.0,108.995,1.29082669244,103.760135561,0.0,289.995,1.29056835809,103.760040556,0.0,298.998,1.28907669173,103.763187227,0.205778,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:04:32,True,1.29115568438,103.760285537,0.102889,83.996,1.29103669209,103.760260559,0.0,0.0,1.29071745434,103.760347696,0.0514444,0.0,1.2910108662,103.760513556,0.0,0.0,1.29091304838,103.760440886,0.0514444,280.997,1.29071169259,103.760810558,0.0,0.0,1.29080669292,103.760378896,0.0,0.0,1.29058699716,103.76028374,0.0514444,355.995,1.29082084995,103.760561762,0.0514444,40.9955,1.29078169207,103.760113897,0.0,108.995,1.29082669244,103.760135561,0.0,289.995,1.29056835809,103.760040556,0.0,298.998,1.28906169264,103.76316723,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:04:42,True,1.29115672906,103.760295093,0.0514444,83.996,1.29103169151,103.760270563,0.0,0.0,1.29071600606,103.7603511,0.0514444,0.0,1.29099775233,103.760546637,0.0514444,0.0,1.29091530943,103.760444773,0.0514444,280.997,1.29072002534,103.760812225,0.0,0.0,1.29079502628,103.760378896,0.0,0.0,1.29058333199,103.760283091,0.0514444,355.995,1.29082132853,103.760546397,0.0514444,39.9957,1.29078940901,103.760121198,0.0514444,108.995,1.29082419539,103.760138404,0.0514444,289.995,1.29056835809,103.760040556,0.0,298.998,1.28906169264,103.76316723,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:04:52,True,1.29115835858,103.760297225,0.0,83.996,1.29103154827,103.760278267,0.0514444,0.0,1.29070839722,103.760341062,0.0514444,0.0,1.29099835953,103.760547225,0.0514444,0.0,1.29090773608,103.760439552,0.0514444,280.997,1.29067669191,103.760977228,0.0,0.0,1.29078835842,103.760380563,0.0,0.0,1.29057966682,103.760282442,0.0514444,355.995,1.2908036595,103.760573135,0.0514444,39.9957,1.29078502585,103.760108895,0.0,109.995,1.29083085701,103.760147652,0.0514444,289.995,1.29056835809,103.760040556,0.0,298.998,1.28907002533,103.76316723,0.0514444,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:05:02,True,1.29115835858,103.760297225,0.0,83.996,1.29103437196,103.760271475,0.0514444,0.0,1.29070227246,103.760341448,0.0514444,0.0,1.29100169302,103.760533896,0.0514444,0.0,1.29091090006,103.760440316,0.0514444,280.997,1.29070002562,103.760863892,0.0,0.0,1.29078835842,103.760380563,0.0,0.0,1.29057279794,103.760281223,0.0514444,355.995,1.29080206749,103.760570318,0.0514444,39.9957,1.29078502585,103.760108895,0.0,109.995,1.29083041105,103.760148731,0.0514444,289.995,1.29056835809,103.760040556,0.0,298.998,1.28906335962,103.76316723,0.102889,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:05:12,True,1.29116169224,103.760288889,0.0,83.996,1.29104070633,103.760267281,0.0514444,0.0,1.29070100522,103.760344432,0.0514444,0.0,1.29100336,103.760533896,0.0,0.0,1.29089652415,103.760436324,0.0514444,281.997,1.29071169347,103.760835558,0.0,0.0,1.2907883583,103.760377229,0.0,0.0,1.29056959202,103.760280661,0.0514444,355.995,1.29080143629,103.760577944,0.0514444,38.996,1.29076669314,103.760098893,0.0,109.995,1.29082440594,103.760161008,0.0514444,290.995,1.29056306599,103.760048383,0.0514444,290.995,1.28906335962,103.76316723,0.102889,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:05:22,True,1.29117433676,103.760282325,0.0514444,83.996,1.29104788623,103.760260234,0.0514444,0.0,1.29070361505,103.760346134,0.0514444,0.0,1.29099335812,103.760533896,0.0,0.0,1.29089395407,103.760434437,0.0514444,281.997,1.29071336004,103.760823896,0.0,0.0,1.29077502682,103.760375562,0.0,0.0,1.29056317797,103.760279521,0.0514444,355.995,1.29080192433,103.760580409,0.0514444,38.996,1.29077835979,103.760098892,0.0,109.995,1.29082501544,103.760164184,0.0514444,290.995,1.29056914668,103.7600507,0.0514444,290.995,1.28902174184,103.763146707,0.360111,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:05:32,True,1.2911760478,103.760279569,0.0514444,83.996,1.29104387194,103.760251846,0.0514444,0.0,1.29070669245,103.760333893,0.0,0.0,1.29098669241,103.760533896,0.0,0.0,1.29088881216,103.760444002,0.0514444,280.997,1.29071336004,103.760823896,0.0,0.0,1.29077835887,103.760383889,0.0,0.0,1.29055997205,103.760278959,0.0514444,355.995,1.29079962799,103.760577496,0.0514444,38.996,1.29077835979,103.760098892,0.0,109.995,1.29082669357,103.760167229,0.0,290.995,1.29057218702,103.760051867,0.0514444,290.995,1.28900012165,103.763139521,0.360111,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:05:42,True,1.29116275814,103.760274042,0.0514444,83.996,1.29104506432,103.760254855,0.0514444,0.0,1.29070669245,103.760333893,0.0,0.0,1.29098502473,103.76051389,0.0,0.0,1.29089107106,103.760449547,0.0514444,281.997,1.29073502477,103.760778889,0.0,0.0,1.29074669281,103.760443893,0.0,0.0,1.29055676613,103.760278389,0.0514444,355.995,1.29079626971,103.760576408,0.0514444,37.9962,1.29079002649,103.760100559,0.0,109.995,1.29082502671,103.760170563,0.0,290.995,1.29057522737,103.760053025,0.0514444,290.995,1.28905169297,103.76316723,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:05:52,True,1.29116883233,103.760279763,0.0514444,83.996,1.2910450264,103.760243896,0.0,0.0,1.29070335855,103.76033556,0.0,0.0,1.29098835868,103.76051389,0.0,0.0,1.29089304732,103.760454216,0.0514444,281.997,1.2907300268,103.760800563,0.0,0.0,1.29075835833,103.760412224,0.0,0.0,1.290549438,103.76027709,0.0514444,355.995,1.29082574292,103.760567878,0.0514444,37.9962,1.29079335818,103.760098892,0.0,109.995,1.29082502671,103.760170563,0.0,289.995,1.29058217799,103.760055675,0.0514444,290.995,1.28906169333,103.763187228,0.0,0.0
METHI BHUM,9VBE4   ,9240457,SG,,CS,9661,564354000,1.28995002477,103.761700561,0.0,0.0,2.0944,0.0,2.11184839491,120.998,2023-05-15 20:06:02,True,1.29117048596,103.760276972,0.0514444,83.996,1.29104169262,103.760248889,0.0,0.0,1.29070430139,103.760337263,0.0514444,0.0,1.2909866917,103.76051389,0.0,0.0,1.29089666392,103.760455093,0.0514444,281.997,1.29073335832,103.760793894,0.0,0.0,1.29077002636,103.760388891,0.0,0.0,1.29054623209,103.76027652,0.0514444,355.995,1.29082320813,103.760565167,0.0514444,36.9965,1.29079835882,103.760090556,0.0,109.995,1.29082169275,103.760170564,0.0,289.995,1.29058521834,103.760056833,0.0514444,290.995,1.28906169333,103.763187228,0.0,0.0
