name_cs,callsign_cs,imonumber_cs,flag_cs,length_cs,type_cs,grosstonnage_cs,mmsinumber_cs,latitudedegrees_cs,longitudedegrees_cs,speedoverground_cs,speedoverwater_cs,courseoverground_cs,courseoverwater_cs,headingoverground_cs,headingoverwater_cs,timestamp,is_stopped,name_tug,callsign_tug,imonumber_tug,flag_tug,length_tug,type_tug,grosstonnage_tug,mmsinumber_tug,latitudedegrees_tug,longitudedegrees_tug,speedoverground_tug,speedoverwater_tug,courseoverground_tug,courseoverwater_tug,headingoverground_tug,headingoverwater_tug,dist_m
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26919891387,103.783532162,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:14:37,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.2701697622,103.782794335,0.565889,1.07826,5.20806,297.951,2.09439510239,119.998,135.57885147134323
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26922613132,103.783473366,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:14:47,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27020605093,103.782737324,0.565889,1.09011,5.2517,301.139,2.07694180987,118.998,136.2641201499416
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26923974019,103.783443971,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:14:57,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27023332624,103.782696583,0.565889,1.08386,5.28486,302.55,2.05948851735,117.999,138.2367070513921
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26925334877,103.783414575,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:15:07,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27026484652,103.782633548,0.565889,1.08664,5.18188,296.565,2.05948851735,117.999,142.08742218230427
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26928251046,103.78335158,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:15:17,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.2702803144,103.782602639,0.514444,0.982363,5.18537,297.072,2.07694180987,118.998,138.71538700491496
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26929611905,103.783322185,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:15:27,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27029107656,103.782578732,0.514444,0.98294,5.13999,294.538,2.07694180987,118.998,138.0963714556625
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26930972791,103.783292789,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:15:37,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27031238345,103.782522292,0.514444,0.985435,5.1016,292.011,2.04203522483,116.999,140.59419930679928
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26933694536,103.783233993,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:15:47,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27032566455,103.782487267,0.514444,0.985435,5.09985,292.011,2.05948851735,117.999,137.7602160764714
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26935055422,103.783204597,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:15:57,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27035693286,103.782435307,0.463,0.887382,5.20806,298.811,2.02458193231,115.999,140.84119986257832
CSCL URANUS,VRKD5   ,9467304,HK,,CS,151993,477423800,1.26937777166,103.783145801,0.514444,0.98294,5.14349,294.538,0.506145483078,28.9984,2023-06-01 06:16:07,False,PSA PHOENIX,9V8851  ,9951616,SG,,TU,348,563187800,1.27037298377,103.782409811,0.463,0.887382,5.22028,298.811,2.05948851735,117.999,137.62421296487616
